,vacancy_title,min_salary,max_salary,currency,vacancy_link,vacancy_site
0,Web-программист,100000,150000,руб.,https://hh.ru/vacancy/47259223?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
1,Начинающий Java разработчик (удаленно или офис),60000,90000,руб.,https://hh.ru/vacancy/47349259?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
2,Программист-разработчик,110000,,руб.,https://hh.ru/vacancy/47246127?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
3,Программист-разработчик 1С Предприятие 8.3,150000,200000,руб.,https://hh.ru/vacancy/46867675?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
4,Программист 1с удаленно,120000,160000,руб.,https://hh.ru/vacancy/45479894?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
5,Программист-разработчик 1С,,,,https://hh.ru/vacancy/46530111?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
6,PHP-программист (удаленно),40000,40000,руб.,https://hh.ru/vacancy/47236207?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
7,Web-программист full-stack,100000,,руб.,https://hh.ru/vacancy/45972279?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
8,Программист C#,150000,,руб.,https://hh.ru/vacancy/47210718?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
9,Программист С#,100000,140000,руб.,https://hh.ru/vacancy/46790954?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
10,Программист-разработчик на Yii 2,130000,135000,руб.,https://hh.ru/vacancy/46991901?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://www.hh.ru/
